repository	origin	commit	tree	commit_date	archived	clean_status	source_archive_sha256	source_type	scoped_files	scope_receipt_sha256	paradox_lines	api_lines	all_text_paradox_lines	all_text_api_lines	use_class	review_decision	evidence	rationale
mlr3ordinal	https://github.com/mlr-org/mlr3ordinal.git	026d8507baaac4e9bc44eb8c074b5b0363305122	f499f99b54008f18e3aa128ff41e94748deb5626	2022-12-08T14:33:05+01:00	false	clean	a40b981777e252a443afbab9a86fd67cb34d3cff8d774d895eac0609abba0e10	org-scan	35	a80864eda881e8d9e3ec82386b094804122e8d47c131394da4b36beb45b64ac3	3	32	3	34	direct-package	retain-reviewed-exclusion-p3	DESCRIPTION:30	Stale package.
mlr3orga	https://github.com/mlr-org/mlr3orga.git	e2173ec9005c08f0bd2e3842b632eb1cf5ed14c7	eb6374944ee0a98a13f89d01ef2a7b1e777abc30	2020-03-30T15:48:53+02:00	false	clean	e1a48117ef2723fa5120ff056ee681b43828c5f8b5366f970d4b66899a62ffd9	org-scan	1	a32ffaedc41866eb666aabd9d7144b2720cf842f7ad025b0bb0c7f065814777f	0	0	0	0	infrastructure	exclude-infrastructure	-	Organization support files only; no paradox interface use.
mlr3pipelines	https://github.com/mlr-org/mlr3pipelines.git	daebff3cc15257cdecde898fd3f0ceff5f320c53	a8401821156967230835687c955f1dca70450b99	2026-07-13T10:31:04+02:00	false	clean	7f9d7858a3a8c72cf2417e0878a6ba64aa5789f37e06a05d03168cd8f03b7dae	consumer-corpus	588	f96b82d0f5415b6839af94bdccae0e52175c9469215a5b650c7debac6ffbeadc	52	1558	81	1575	direct-package	retain-gate-p0	DESCRIPTION:75	Broad ParamSet and collection use.
mlr3pkgdowntemplate	https://github.com/mlr-org/mlr3pkgdowntemplate.git	853231d6ff3eec13b173c4eb029fa471faca5ab2	07aa50c3836b4e4727a7ea0349f65c2858a401f6	2021-12-05T15:30:01+01:00	false	clean	10d84858e1545ebd9dfd1e1b47e0b78bdd1a4afec7b292d9bbcb50eb42c0f661	org-scan	2	276e311b900188be92c9aa0da68093d2b3fef88fe1755be00d5f87027d904295	0	0	0	0	infrastructure	exclude-infrastructure	-	pkgdown template package; no paradox interface use.
mlr3proba	https://github.com/mlr-org/mlr3proba.git	327d0503b40b9373caa24d0326c1f8b2a5356415	3da4b0971a3ccfa8a0b6f141f799ec7d5727e026	2026-06-05T15:56:47+02:00	false	clean	c8ac00d1e09ba04485142c2c9ce6c62ace59d3e1c03f395c4d2991e6add254aa	consumer-corpus	197	1716449d1be8dbd2b2f7c68e5ef0b969351c97dbf8994363e125d456030e397f	5	463	11	458	direct-package	retain-gate-p1	DESCRIPTION:40	Active GitHub-only consumer.
mlr3resampling	https://github.com/mlr-org/mlr3resampling.git	9e4e423140e2f11fb4bf797e31db85842e0f647d	b90c45fd453fbf3b006dd78542ba59e817f85da6	2025-05-08T10:26:00+02:00	false	clean	fb523498582d707fb2742ba93bc5e4ef9a9eaf24a2c75040c77bced2ac018ad2	org-scan	13	29e9a52d8a4c1b68261abf99af7eb8703a59bff7924a2b808b8fbf8de7f96c0a	18	109	21	118	direct-package	covered-by-maintained-upstream-p1	R/ResamplingSameOtherCV.R:6	Organization fork imports paradox but is stale; the newer tdhock upstream is already pinned as the P1 consumer.
mlr3spatial	https://github.com/mlr-org/mlr3spatial.git	5db9c302832fe70add54a8f437fcf481e6e1f889	7e15f20d56cd6cc3fb108b783832fa632ce1b435	2026-07-02T11:41:10+02:00	false	clean	22275820f987d875590596f26e833b422c2b4f28179fd2487a6391b6db01302e	consumer-corpus	56	e59c545392cd46214f028752cf5ef2b29af701265c7d4299aa819b3663d4e3f1	3	6	9	9	direct-package	retain-advisory-p2	DESCRIPTION:38	Current extension.
mlr3spatiotempcv	https://github.com/mlr-org/mlr3spatiotempcv.git	e85ad4d0abdb921ac781d150814875c799ce6c21	bf90d5853a7d16e03a274a3bc933555ac67be52e	2026-04-23T17:24:00+02:00	false	clean	036e264171ccb734c74e144c98c56b944986cdb9bafb32426fabb84508932a42	consumer-corpus	99	4c02c109be99ef10d6ed8eba3d7dd71b2048920a62a44d169146eed8b43d77de	9	293	19	292	direct-package	retain-gate-p1	DESCRIPTION:32	Active extension.
mlr3summary	https://github.com/mlr-org/mlr3summary.git	b032464e124fa3a048f1a4c54d847086087867da	09df281767617226d5b02ce0304ae96abee9db0e	2026-02-18T09:34:29+01:00	false	clean	9c9195721cd2986d5d8688d0147a8a6ec22e8a3ab080f04daa1c1a0d0870e0ff	consumer-corpus	22	cfae7639adf6a70cb2cb81c63079a4f25ffa553b5c30a503a9925f6d1f966d7d	0	12	0	12	de-facto-package	retain-advisory-p2	R/get_complexity.R:55	Demos use tuning APIs.
mlr3survival-old	https://github.com/mlr-org/mlr3survival-old.git	a1cbd60a9ac9e8078daa837f6b99bf5ba2bbc45c	42250f07c9cd59b962e23b5f94801a195c04f6cc	2019-10-21T11:09:58+02:00	false	clean	bd4bcbecac07dc27093a1729bd9737fbb686fb7322abb25f5188d671fead6d85	org-scan	43	6a84deedbf620082097e064dfda9c307f9071497088c634ff5462ca2955b9790	4	76	4	77	direct-package	retain-reviewed-exclusion-p3	DESCRIPTION:24	Obsolete package.
mlr3temporal	https://github.com/mlr-org/mlr3temporal.git	a906052d271907b951004ddaf070a71a60b9b46a	60f3fd1e1d33e22ec45da3d99c8829206f7e8ce9	2023-06-26T13:20:58+02:00	false	clean	b97877921f38cd679b8a90f11c4daa9afe7273439d5ae8d6c6bf272fb4336754	consumer-corpus	84	656a74935104492bba36cd92a54331a3eebba7c116ceb9b055df13a4ed5578b5	4	68	5	81	direct-package	retain-advisory-p2	DESCRIPTION:29	Older but still useful source evidence.
mlr3torch	https://github.com/mlr-org/mlr3torch.git	703ce3a80a971f0d4386297f40fe248dc21988aa	8af31e8a1c3f0429dacc2e500d17deedbeecf4ec	2026-04-27T14:00:12+02:00	false	clean	61e3cc2be2c011b140c961edcabfc59bb7f23fe387e098c8bd35c7c988784b5a	consumer-corpus	296	71f954f920ee13f82bf63ce64d8ca96e494533aaa11e31f13980c1aaa58965e3	31	1302	75	1458	direct-package	retain-gate-p1	DESCRIPTION:55	Domain and ParamSet consumer.
mlr3torch-course	https://github.com/mlr-org/mlr3torch-course.git	2b554f24c89ecb68e2da968551b4622bc84f35b2	aa1b7c1ea76f56d2511368c76bc807e65aa1c3a3	2025-03-14T09:58:08+01:00	false	clean	401fd133ffa577fa087682461179c35350e44907bd12498e52cf74e0167f544a	consumer-corpus	38	a690c9f8eb56b398001a27676d822a5a33d981f36c27e917fb27ef6a24d091a6	0	19	16	48	de-facto-documentation	retain-advisory-p2	notebooks/6-mlr3torch.qmd:123	Course examples use tuning APIs.
mlr3tuning	https://github.com/mlr-org/mlr3tuning.git	b34b50947d45c2fa1d70a3eb1c7c520190a7b26e	f1b853f5f2c1c6282ffee1b10bdcd559869cbe93	2026-07-02T17:45:16+02:00	false	clean	8d0ab76260929fc563e354faa8566caa14dc75699b840718e8669dcf97a2e6f6	consumer-corpus	153	27277115c065e96a51bf7ff4ed58387428d442de6bcf4678fc18c9ecbd13398f	29	870	99	1039	direct-package	retain-gate-p0	DESCRIPTION:17	Core tuning gate.
mlr3tuningspaces	https://github.com/mlr-org/mlr3tuningspaces.git	9147e5b005ed81f887fb35d7a369163d4e464e61	39e700ccd51a14389916d9008be276be55fd6ea4	2025-08-16T14:16:04+02:00	false	clean	675892a62faf20cb367c4d6cf7baa21f0b2bb93699dd70709f5ba3329c6662bd	consumer-corpus	19	84fefc532a87792ba83b4d45a8961f2aed847ad69a78848f28106c2dfb05c616	14	187	27	209	direct-package	retain-gate-p0	DESCRIPTION:27	Large catalog of real parameter spaces.
mlr3verse	https://github.com/mlr-org/mlr3verse.git	f67dd1563dc2ccffb188a1789cb48112cf4ef835	f7f8b8169f7db6f46dace760721baf618082d26e	2026-07-02T11:41:07+02:00	false	clean	9b61d4e47e0d914ccab4cc98b18aa8b63b7d74600c5b3e637d5e6276b8829d08	consumer-corpus	19	486f5a2878866327f99788672f71fc311f160288e0681298d8a935381aa278c5	32	40	40	55	direct-package	retain-gate-p0	DESCRIPTION:39	Meta-package installation gate.
mlr3viz	https://github.com/mlr-org/mlr3viz.git	64980aefc5cd9ee95a2139c0963d2f285b4f9c73	2c147b2ab9f47300da4595dfe903411d00c0fd26	2026-07-02T11:40:38+02:00	false	clean	e95a6a9778846ebb4ccc76360463621485cd545b5199d09beaac05dd6db5dd92	consumer-corpus	65	8020f63d37ad6ccc75cdd976244c7db98f4ee4fb9971df083889bde741074c55	10	23	18	27	direct-package	retain-advisory-p2	DESCRIPTION:56	Current visualization package.
mlr3website	https://github.com/mlr-org/mlr3website.git	eec927734a7adc28f0e0070eed46d995a1ee64f4	efeb3bfd9b5cbe2de18f72bd56dcad054441952b	2026-06-25T12:24:25+02:00	false	clean	870a708425f6f7e848204e0bd31b69d81052817c7625b909f0501389f8a85292	consumer-corpus	130	6e8b0a59d5418a9b5d8f2235e0773dfa880c1a6da6ae24cf98c49aaaff79fc90	75	529	108	550	direct-documentation	retain-gate-p0	NAMESPACE:28	Current gallery successor and paradox benchmark suite.
mlrCPO	https://github.com/mlr-org/mlrCPO.git	7a2b7c50f4d831b5f594090ee3ad28e9507a4b21	989f9c799aa713e791deb299ae16944e1f0b551a	2025-06-17T17:46:54+02:00	false	clean	36bdd4603d62d0fd07a877cb83ed7f15b6ac5e9ea4f44f4f4cbe5952188e33fe	org-scan	108	9806741b23508b7a6b8ec361853a9c08777b68454287ef78f258393a66a00220	0	192	0	390	historical-predecessor	exclude-predecessor	DESCRIPTION:5	Legacy mlrCPO depends on ParamHelpers and mlr; ParamSet-shaped names are not paradox.
mlrcranlog	https://github.com/mlr-org/mlrcranlog.git	18a89d33a1f66799f8972460a0b88d20555507bf	25e1ab1c7a30a939549f7d98604e9fce7e219a56	2020-12-07T03:06:58Z	false	clean	35dd70fc37869fbf05edfa3cec421f69386452655a535372f6b6acc08634d1a9	org-scan	3	88ae74681d2a97b2f18eab8776816a90d32d78aff7809dd7b2c2d76e1f86fc91	0	0	0	0	no-use	exclude-no-use	-	CRAN download-log utility with no paradox interface use.
mlrMBO	https://github.com/mlr-org/mlrMBO.git	bcfeed6d71179ebe274928eaa84aeffa839f11b8	90e5f4ff27aaf155955da73e5b387735a82808c3	2026-03-01T09:38:21+01:00	false	clean	a86e4ff8c6f2f5c71e2776cb1cbfcbfbbe3b912a650177cfc272e5c58338e15a	org-scan	210	05471b98bd18eef92915672031c96dc33af5c8568cdb354b44b1d1e0623fbfdd	0	172	0	179	historical-predecessor	exclude-predecessor	DESCRIPTION:5	Legacy mlrMBO depends on ParamHelpers; ParamSet-shaped names are not paradox.
ooplah	https://github.com/mlr-org/ooplah.git	4d88a65d349ba524060229704adcee25ec7bf4f8	03bd55b01774cf24194082f1608382bf6c176d1e	2022-03-25T21:50:10Z	false	clean	9df3f81ff6a5052d8dedeb6f845658b3538d04ddfabe94771dfa8e730e8ec677	org-scan	23	50449a4b9503295d1cc0592b7e7457f3499e495378607bd88d1e704327de5a35	0	0	0	0	no-use	exclude-no-use	-	Independent R6 helper package with no paradox interface use.
opengeohub-summer-school-2022	https://github.com/mlr-org/opengeohub-summer-school-2022.git	72a166ae9d3b189d50975ba0ad708260b79132fa	29912d7d11040d880f9ea613debf314e10b3fa3c	2022-09-01T12:18:19+02:00	false	clean	b19eecc4079b55d7d73c0a5fd5fdce217e7f1eb0cc3e1cb4d97ba673033f9608	org-scan	12	b344353f2e2d059759777161509c323d5107ec8b592375e1188fc9e0bb449c4a	0	13	40	22	de-facto-documentation	characterization-only	mlr3-basics/hands-on/02-resampling.R:23	One-off 2022 course material exercises ps(), p_dbl(), p_int(), to_tune() and ParamSet values; retain as UI evidence, not a maintained gate.
paradox	https://github.com/mlr-org/paradox.git	06091b5b64a78807d332ec95c5cdc1aaac5899b9	abb3de86829a7e3e79aca9680d1e50da50c09dcb	2026-03-04T10:52:27+01:00	false	clean	93bd30913fdad2781e8580d2ffca319e99bd07caf495c4ad49b2d43243293d71	org-scan	104	9ea5618c2b32565f39a1ca73f9a99241a5eb4fc4a8564e8b20103a2045028668	43	2265	130	2825	self	exclude-self	DESCRIPTION:2	Upstream paradox itself is reference/baseline source, not a reverse consumer.
parallelMap	https://github.com/mlr-org/parallelMap.git	fb4bdd5950e88b781267c6e2a49ffe98af55a2b0	69c357a7f6276aa2f1f01ebfd89bfe95f2c7755c	2023-11-26T02:03:23+01:00	false	clean	a97c3b428e3d26fcade4511a039cdc70cfec441c3d8b3aa7426a49a192c8687b	org-scan	44	491f9f52ed988793e8a56682596ae1d3f5bc122f4c5813343daeeacadf94c4f4	0	0	0	0	no-use	exclude-no-use	-	Legacy parallel backend package with no paradox interface use.
param6	https://github.com/mlr-org/param6.git	82a11d441863bad20a5837ec63eff3b8f2bbbc6b	25280e11974c22f35449bd4131a4bc50231e2bdb	2026-02-23T13:43:42+01:00	false	clean	967127cb06ddf51467addc48c9bd001e6548c0fd14504bfbfb116ae41e07c787	org-scan	23	2b7830f42646284ccd1ddae5f8c57b05d446036119b3fa018a65cc20ec2261de	1	3	2	3	alternative-design	exclude-alternative	README.Rmd:141	Independent alternative parameter system only credits paradox design influence.
ParamHelpers	https://github.com/mlr-org/ParamHelpers.git	83dcb2cd2fad73404d65e99bda660520c5e3bcd0	5889d57e2c0dccb235f9b844dfa516ff421a97da	2024-12-22T20:01:14+01:00	false	clean	3e10b3b3eca116d06fd5b9f02e07a7153ed1de8c1394eb2fd8b865fef6c5d487	org-scan	128	521cd814d7a00db7c37e9d11e3883a9fde51d7c0d0b98b7b9dfbc58de5daa819	1	363	1	483	historical-predecessor	exclude-predecessor	R/generateDesign.R:139	Predecessor package; one source comment credits adapted paradox code but it does not consume paradox.
pkgsrc	https://github.com/mlr-org/pkgsrc.git	a7eff34a0ee755295589850394dd144bb9ad01d3	b92bb97033922ee6c19d462331c9156013170e48	2021-03-18T11:24:10+01:00	false	clean	f555fa87fd47221e613f9f434577efd98a527c579135b28d6a3862d3db0a3381	org-scan	2	bfe258e25ea9c442722fc6989d300638705b9e261283208679a8a7b5cdf567e2	0	0	0	0	infrastructure	exclude-infrastructure	-	Package-source infrastructure shell with no paradox interface use.
rush	https://github.com/mlr-org/rush.git	766c0ca4177f9c7657410d17c6d21e603c94fe50	78f7bfe2fa50f318401f0faec4b7bbfdded0035c	2026-07-14T16:57:54+02:00	false	clean	d233c37e3123233ba22c5f52b4925b917d37bd13502d998ffd0c73624dc2a1b0	org-scan	48	8304d6e199c3433e45aa5064054c8a368d11f4571e9154a88f07568727da603c	0	5	5	8	no-use	exclude-no-use	R/Rush.R:638	No paradox use; matched map_* calls are mlr3misc utilities.
set6	https://github.com/mlr-org/set6.git	10ca8212b71c1e03aaed51fb98ab30ce17da3882	9cb4e985276593c66bc19bd51fd989ee4d92ee23	2026-02-23T13:48:03+01:00	false	clean	14eb94079290af857e6bf4207b5029c89a314a857776939286fef4d2b399353f	org-scan	90	d7f68738038d702ecf763710fdc357a14d0defbcdf94ed6105b3cd9849d4d962	2	0	4	0	no-use	exclude-no-use	R/Set_Universal.R:11	No paradox use; prose uses the ordinary mathematical word paradox.
smashy	https://github.com/mlr-org/smashy.git	fab093584d647ff203f98fa5c9d41f540f65bb8b	6cd99c429c206253b8d283c0ae68344364408082	2024-06-24T19:50:46+02:00	false	clean	1c4a7cafe6b6e3973b3e2b7b8fd76a012ed6a953711320c5ed2ea2266c34f9a9	consumer-corpus	181	43a714412dc0b15ef11c94d2fd47cc20e5eb6545789ca178311aa7b01abb08a3	167	1963	389	2392	direct-package	retain-advisory-p2	DESCRIPTION:15	Experimental consumer pinned to an older paradox development branch.
spacefinder	https://github.com/mlr-org/spacefinder.git	8bb578e9d2126893bcc323746659c6243c198ca4	e953bfc295b183bf8d29ce7739bf45957307f209	2025-12-29T08:44:27+01:00	false	clean	b6ca2f1881e6c80bf0690cbe4ceb2c3e4aad92340de0900e895fa9a72fdf56c8	org-scan	43	929ce6223cea374cf615357dbfe61f5e42aa440cce8d1dea1693523dc8c22d65	0	0	0	0	no-use	exclude-no-use	-	Independent parameter-space analysis package with no paradox dependency or API-shaped use.
styler.mlr	https://github.com/mlr-org/styler.mlr.git	e950499afb6b28610400489f3ae6faacc6897358	3795f39573733482b01d63175d6145876cb1fa83	2024-11-05T17:02:39+01:00	false	clean	b941c8ffdc6dd7f50ce4b055ba74cf6e7bacf3bf5ba8a9e53773e2f4359b9ce9	org-scan	28	4819b026cd0ba116db9f8b23eb8e4c31a420ca78db0d30469301045cceccefce	1	0	2	0	infrastructure	exclude-infrastructure	README.Rmd:52	Style tooling only; README path detection mentions a paradox checkout name.
survdistr	https://github.com/mlr-org/survdistr.git	6573beb76e1f9c6277932766070a79f0473344bd	fa66784993607ac9e5bf8666009d134a171c5a66	2026-06-08T10:51:49+02:00	false	clean	d2a4fdf30ee626bbccb6240d763cec81747e240e1230cb97a24c5d3b9164436d	org-scan	31	90813f40cf96a879f47881b04a0650d85c455d013a679a20a1a3f1c6c2bd2a81	0	4	0	4	no-use	exclude-no-use	R/helpers.R:99	No paradox use; matched map_interp_method names are unrelated.
user2020	https://github.com/mlr-org/user2020.git	cc18c1fd392cbc5a69b74d26d70fab1ceb6156ab	800d443ee857a310cefd58efb0ebd70e626902f2	2020-08-12T16:47:49+02:00	false	clean	e406fa99e22d3c1ccad7bd2de7b45386b06c393f56a72cebdb376cec39f47683	org-scan	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	0	1	0	mention-only	exclude-obsolete	README.md:50	2020 tutorial shell only lists paradox for installation; executable materials live elsewhere.
xplaineff	https://github.com/mlr-org/xplaineff.git	27e172a4d5b9ff98abfd3783cced8817d1a2a695	2dc14f75e73ab97c246451e6044cfe928b924f9c	2026-07-14T15:05:20+02:00	false	clean	9002395fde746637fe2e9d8469f2b0a809b294e51fecd5a9fc4db65743dd6f13	org-scan	65	0a6542723fd07bcb8c9cda12fc128eccf66004e0bc817d1c9a425a2f0c4c25a0	0	6	0	12	no-use	exclude-no-use	R/extract_split_info.R:40	No paradox use; matched map_lgl calls are mlr3misc helpers.
xplainfi	https://github.com/mlr-org/xplainfi.git	05a992094190ae19e981a5946205755b5cbc9346	c65c50b33ff434b36402f73b44d83a9b9c47e516	2026-07-02T19:41:44+02:00	false	clean	8f38de340b85e57751654724ffb52b9f841a1172ee803b70d3352cf206565bb9	consumer-corpus	73	8f645a1aa1c7abcedf2799a413b38c7664d3cdda739ae8383de562057b4c79c1	45	168	57	177	direct-package	retain-gate-p1	DESCRIPTION:28	Active external-style first-party consumer.
